Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00     5658     0.00     0.00  __gnu_cxx::new_allocator<std::string*>::construct(std::string**, std::string* const&)
  0.00      0.10     0.00     5642     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::string*> >::allocate(unsigned int, void const*)
  0.00      0.10     0.00     5642     0.00     0.00  std::_List_base<std::string*, std::allocator<std::string*> >::_M_put_node(std::_List_node<std::string*>*)
  0.00      0.10     0.00     5632     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::_M_insert(std::_List_iterator<std::string*>, std::string* const&)
  0.00      0.10     0.00     5619     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::_M_create_node(std::string* const&)
  0.00      0.10     0.00     5618     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::string*> >::max_size() const
  0.00      0.10     0.00     5606     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::string*> >::deallocate(std::_List_node<std::string*>*, unsigned int)
  0.00      0.10     0.00     5598     0.00     0.00  std::_List_base<std::string*, std::allocator<std::string*> >::_M_get_node()
  0.00      0.10     0.00     5566     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::push_back(std::string* const&)
  0.00      0.10     0.00     5342     0.00     0.00  MutexLock::MutexLock(IMutex*)
  0.00      0.10     0.00     5194     0.00     0.00  std::_List_iterator<KeepAliveClient>::_List_iterator(std::_List_node_base*)
  0.00      0.10     0.00     5123     0.00     0.00  Buffer::clear()
  0.00      0.10     0.00     4941     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::end() const
  0.00      0.10     0.00     4930     0.00     0.00  std::iterator_traits<std::_List_const_iterator<std::string*> >::difference_type std::distance<std::_List_const_iterator<std::string*> >(std::_List_const_iterator<std::string*>, std::_List_const_iterator<std::string*>)
  0.00      0.10     0.00     4921     0.00     0.00  std::iterator_traits<std::_List_const_iterator<std::string*> >::difference_type std::__distance<std::_List_const_iterator<std::string*> >(std::_List_const_iterator<std::string*>, std::_List_const_iterator<std::string*>, std::input_iterator_tag)
  0.00      0.10     0.00     4918     0.00     0.00  std::iterator_traits<std::_List_const_iterator<std::string*> >::iterator_category std::__iterator_category<std::_List_const_iterator<std::string*> >(std::_List_const_iterator<std::string*> const&)
  0.00      0.10     0.00     4903     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::size() const
  0.00      0.10     0.00     4897     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::begin() const
  0.00      0.10     0.00     4768     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.10     0.00     4751     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, void*> > const*)
  0.00      0.10     0.00     4743     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, void*> > const*)
  0.00      0.10     0.00     4742     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_M_begin() const
  0.00      0.10     0.00     4741     0.00     0.00  Buffer::flush(unsigned int)
  0.00      0.10     0.00     4741     0.00     0.00  std::map<std::string, void*, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::find(std::string const&) const
  0.00      0.10     0.00     4739     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::find(std::string const&) const
  0.00      0.10     0.00     4735     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_S_key(std::_Rb_tree_node_base const*)
